event_date,entry_date,exit_date,event_type,surprise,surprise_pct,signal,entry_price,exit_price,pnl_gross,cost,pnl_net,stopped,holding_days,stop_type,stop_pct,config
2024-11-01,2024-11-04,2024-11-07,NFP,-88.0,-88.0,1,46.28149619632034,43.86789618012003,-5.215043191261848,0.3,-5.515043191261848,False,2,none,0,No stop
2024-10-04,2024-10-07,2024-10-10,NFP,114.0,81.42857142857143,-1,50.67597586745183,48.85856391160224,3.7197408403934373,0.3,3.4197408403934375,False,2,none,0,No stop
2024-08-02,2024-08-05,2024-08-08,NFP,-61.0,-34.85714285714286,1,59.16251588586434,51.24936401912348,-13.375279513141091,0.3,-13.675279513141092,False,2,none,0,No stop
2024-06-07,2024-06-10,2024-06-13,NFP,92.0,51.11111111111111,-1,45.57570338607362,48.87980987519148,-6.759654952739136,0.3,-7.059654952739136,False,2,none,0,No stop
2024-05-03,2024-05-06,2024-05-09,NFP,-65.0,-27.083333333333332,1,44.259751496830354,44.18400840044207,-0.17113312620770094,0.3,-0.4711331262077009,False,2,none,0,No stop
2024-04-05,2024-04-08,2024-04-11,NFP,103.0,51.5,-1,46.52244033103426,45.10233964220242,3.148618674990078,0.3,2.848618674990078,False,2,none,0,No stop
2024-03-08,2024-03-11,2024-03-14,NFP,75.0,37.5,-1,54.36421803846819,50.52541650963413,7.59776325268311,0.3,7.29776325268311,False,2,none,0,No stop
2024-02-02,2024-02-05,2024-02-08,NFP,173.0,96.11111111111111,-1,52.520082491726086,51.40044021606445,2.178273709242884,0.3,1.8782737092428838,False,2,none,0,No stop
2024-01-05,2024-01-08,2024-01-11,NFP,46.0,27.058823529411764,-1,55.71908936335049,55.38037195264178,0.6116199634743635,0.3,0.31161996347436355,False,2,none,0,No stop
2023-10-06,2023-10-09,2023-10-12,NFP,166.0,97.6470588235294,-1,40.53015117969509,43.98547827666996,-7.855608788065826,0.3,-8.155608788065827,False,2,none,0,No stop
2023-06-02,2023-06-05,2023-06-08,NFP,149.0,78.42105263157895,-1,69.93567341678434,68.92343800666504,1.4686374321916773,0.3,1.1686374321916773,False,2,none,0,No stop
2023-05-05,2023-05-08,2023-05-11,NFP,73.0,40.55555555555556,-1,74.99678909345268,78.67762582592238,-4.6783779935272936,0.3,-4.978377993527293,False,2,none,0,No stop
2023-03-10,2023-03-13,2023-03-16,NFP,106.0,51.707317073170735,-1,86.9837687592222,84.7839480335236,2.594619355103389,0.3,2.2946193551033893,False,2,none,0,No stop
