date,type,rating,prediction,confidence,returns,pnl,fold
2022-01-01,NFP,-5.0,0,0.74760616,-0.4739466816369365,0.4739466816369365,1
2022-02-01,NFP,5.0,0,0.94483423,-0.22261763834947262,0.22261763834947262,1
2022-07-01,NFP,5.0,0,0.8105791,-0.48429746568008963,0.48429746568008963,1
2022-09-01,NFP,-4.0,1,0.89884555,-0.5602360051581641,-0.5602360051581641,1
2022-10-01,NFP,2.0,1,0.89884555,-0.7427723522607016,-0.7427723522607016,1
2023-04-01,NFP,-3.0,0,0.68329287,1.066498645230546,-1.066498645230546,1
2023-05-01,NFP,-2.0,0,0.6506723,1.9629617798423955,-1.9629617798423955,1
2023-06-01,NFP,2.0,0,0.847589,-0.8256993281894733,0.8256993281894733,2
2024-08-01,NFP,-5.0,0,0.8498039,1.6529806469141588,-1.6529806469141588,2
2024-10-01,NFP,-5.0,1,0.95960724,-0.7943749907901017,-0.7943749907901017,2
2024-11-01,NFP,5.0,1,0.61154467,0.5871659613641141,0.5871659613641141,2
2015-07-01,CPI,5.0,1,0.9586006,1.0642183220046668,1.0642183220046668,2
2015-09-01,CPI,-5.0,0,0.8810687,-0.028178733528514643,0.028178733528514643,2
2016-01-01,CPI,5.0,1,0.8773217,0.5752415789287577,0.5752415789287577,2
2016-11-01,CPI,5.0,1,0.8804552,0.23652992530089986,0.23652992530089986,2
2018-03-01,CPI,3.0,0,0.819318,-0.4977958039288249,0.4977958039288249,2
2018-04-01,CPI,4.0,0,0.88324803,-0.37826061175197084,0.37826061175197084,2
2018-12-01,CPI,-5.0,0,0.7312542,0.7170968970274294,-0.7170968970274294,2
2019-01-01,CPI,-5.0,0,0.81240284,-0.019139948177928984,0.019139948177928984,2
2019-02-01,CPI,-5.0,0,0.8910833,-0.04800305169578468,0.04800305169578468,3
2019-06-01,CPI,-3.0,1,0.9682219,-0.36625211239495975,-0.36625211239495975,3
2019-08-01,CPI,-2.0,1,0.93807155,1.0728591457687748,1.0728591457687748,3
2019-09-01,CPI,-3.0,1,0.78128594,-0.6486968055232858,-0.6486968055232858,3
2019-10-01,CPI,-2.0,1,0.93703365,0.8702587050770837,0.8702587050770837,3
2020-03-01,CPI,-5.0,1,0.9210621,0.9398823988924698,0.9398823988924698,3
2020-04-01,CPI,-5.0,1,0.6668401,0.0902821735301286,0.0902821735301286,3
2020-05-01,CPI,-5.0,0,0.8751074,-0.05758006900619198,0.05758006900619198,3
2020-06-01,CPI,-5.0,0,0.8938153,-0.7555091733479603,0.7555091733479603,3
2020-09-01,CPI,5.0,1,0.7008457,0.2708968734379496,0.2708968734379496,3
2020-10-01,CPI,5.0,0,0.94655514,-0.7306315930561567,0.7306315930561567,3
2020-11-01,CPI,5.0,0,0.695789,0.6156893319655343,-0.6156893319655343,3
2020-12-01,CPI,4.0,0,0.9830926,0.10027758017750034,-0.10027758017750034,4
2021-01-01,CPI,3.0,0,0.96212786,-0.8168246923832713,0.8168246923832713,4
2021-02-01,CPI,5.0,1,0.9020925,-0.49700624255011966,-0.49700624255011966,4
2021-03-01,CPI,5.0,0,0.98315096,-0.3547965490230246,0.3547965490230246,4
2021-04-01,CPI,5.0,0,0.9527131,0.2028626631777592,-0.2028626631777592,4
2021-05-01,CPI,5.0,1,0.9674594,0.2541587016516958,0.2541587016516958,4
2021-10-01,CPI,5.0,0,0.8305427,-0.43249856965616756,0.43249856965616756,4
2021-11-01,CPI,5.0,0,0.97200847,-0.0698866946243388,0.0698866946243388,4
2021-12-01,CPI,5.0,1,0.9062159,0.3709068001698598,0.3709068001698598,4
2022-02-01,CPI,5.0,0,0.9596095,-0.22261763834947262,0.22261763834947262,4
2022-04-01,CPI,4.0,0,0.9876812,-1.2564252839384145,1.2564252839384145,4
2022-05-01,CPI,4.0,0,0.6592136,0.7653156591517273,-0.7653156591517273,5
2022-06-01,CPI,4.0,0,0.7907163,-0.04872636111900217,0.04872636111900217,5
2022-08-01,CPI,-2.0,0,0.9938343,-0.975384175288714,0.975384175288714,5
2022-09-01,CPI,-2.0,0,0.9375848,-0.5602360051581641,0.5602360051581641,5
2022-12-01,CPI,-5.0,0,0.96558446,-0.8123757899071582,0.8123757899071582,5
2023-01-01,CPI,-4.0,0,0.83375716,0.6215907130383372,-0.6215907130383372,5
2023-02-01,CPI,-4.0,0,0.65643346,-1.1132548535247633,1.1132548535247633,5
2023-04-01,CPI,-5.0,1,0.9607978,1.066498645230546,1.066498645230546,5
2023-05-01,CPI,-5.0,1,0.82443565,1.9629617798423955,1.9629617798423955,5
2024-08-01,CPI,-4.0,1,0.7975154,1.6529806469141588,1.6529806469141588,5
2024-09-01,CPI,-5.0,1,0.6885734,0.8211883369076257,0.8211883369076257,5
2024-10-01,CPI,-4.0,0,0.89961827,-0.7943749907901017,0.7943749907901017,5
